city,demand,lat,lng
埼玉県滑川町,18212.0,36.0660069,139.3608153
埼玉県川島町,20788.0,35.9924665,139.48428869999998
埼玉県ときがわ町,11492.0,36.00867279999999,139.29701169999998
埼玉県長瀞町,7324.0,36.1147677,139.1096114
埼玉県美里町,11207.0,36.1771581,139.1815144
埼玉県寄居町,34081.0,36.11841550000001,139.19295380000003
埼玉県松伏町,30061.0,35.9256101,139.8152763
千葉県千葉市 稲毛区,160968.0,35.6486955,140.1112339
千葉県千葉市 美浜区,148718.0,35.6349811,140.06498200000001
千葉県船橋市,622890.0,35.694548499999996,139.98272769999997
千葉県松戸市,483480.0,35.78766629999999,139.9033248
千葉県成田市,131190.0,35.7766588,140.3187418
千葉県旭市,66586.0,35.720454,140.64661769999998
千葉県勝浦市,19248.0,35.15222720000001,140.32088330000002
千葉県八千代市,193152.0,35.72243579999999,140.09987619999998
千葉県鎌ケ谷市,108917.0,35.7768605,140.0007716
千葉県浦安市,164024.0,35.6531598,139.9019863
千葉県八街市,70734.0,35.6659061,140.318025
千葉県富里市,49636.0,35.7267856,140.3430617
千葉県香取市,77499.0,35.89776879999999,140.49934040000002
千葉県大網白里市,49184.0,35.5217735,140.3209903
千葉県神崎町,6133.0,35.9015075,140.40514419999997
千葉県九十九里町,16510.0,35.53489120000001,140.43965580000003
千葉県一宮町,11767.0,35.3725402,140.368552
千葉県白子町,11149.0,35.454338,140.3744059
千葉県大多喜町,9843.0,35.2851872,140.2454217
東京都特別区部,9272740.0,35.70902589999999,139.73199250000002
東京都港区,243283.0,35.658081300000006,139.7515077
東京都台東区,198073.0,35.712573600000006,139.7802043
東京都品川区,386855.0,35.6091973,139.7303364
東京都世田谷区,903346.0,35.6465615,139.6532924
東京都杉並区,563997.0,35.69947050000001,139.63552040000002
東京都荒川区,212264.0,35.7359339,139.78347580000002
東京都足立区,670122.0,35.775017,139.8044129
東京都八王子市,577513.0,35.6664381,139.31600680000003
東京都三鷹市,186936.0,35.6833484,139.55983659999998
東京都昭島市,111539.0,35.7059102,139.3540161
東京都小金井市,121396.0,35.69945629999999,139.50305840000001
東京都東村山市,149956.0,35.754598,139.4685613
東京都福生市,58395.0,35.73848920000001,139.32702350000002
東京都清瀬市,74864.0,35.7860547,139.5261729
東京都多摩市,146631.0,35.63711,139.4465075
東京都あきる野市,80954.0,35.7285903,139.2934663
東京都日の出町,17446.0,35.7421193,139.25742769999997
東京都大島町,7884.0,34.7501544,139.3554996
東京都神津島村,1891.0,34.20552360000001,139.13449939999998
東京都八丈町,7613.0,33.1127894,139.78899199999998
神奈川県横浜市 鶴見区,285356.0,35.49562810000001,139.6809281
神奈川県横浜市 中区,148312.0,35.43225529999999,139.6605146
神奈川県横浜市 磯子区,166229.0,35.3908304,139.6146102
神奈川県横浜市 戸塚区,275283.0,35.4014751,139.5381824
神奈川県横浜市 緑区,180366.0,35.5193224,139.5229088
神奈川県横浜市 泉区,154025.0,35.4218189,139.49746159999998
神奈川県川崎市 川崎区,223378.0,35.52228970000001,139.730788
神奈川県川崎市 高津区,228141.0,35.59299979999999,139.6146102
神奈川県川崎市 麻生区,175523.0,35.5936667,139.50255019999997
神奈川県相模原市 南区,277280.0,35.52752789999999,139.3957836
神奈川県鎌倉市,173019.0,35.31921279999999,139.5466731
神奈川県茅ヶ崎市,239348.0,35.3338221,139.4036897
神奈川県秦野市,167378.0,35.3747429,139.21991540000002
神奈川県伊勢原市,101514.0,35.40313339999999,139.31451069999997
神奈川県南足柄市,43306.0,35.3206301,139.0997508
神奈川県寒川町,47936.0,35.3730006,139.3838428
神奈川県中井町,9679.0,35.3307448,139.2185817
神奈川県山北町,10724.0,35.3606484,139.08383469999998
神奈川県真鶴町,7333.0,35.1584376,139.1371349
神奈川県清川村,3214.0,35.4823577,139.2763651
新潟県新潟市 中央区,183767.0,37.904927,139.04103590000003
新潟県新潟市 南区,45685.0,37.7709799,139.0286932
新潟県長岡市,275133.0,37.44651870000001,138.8513499
新潟県新発田市,98611.0,37.948372799999994,139.32741719999999
新潟県十日町市,54917.0,37.1282799,138.75536330000003
新潟県燕市,79784.0,37.6730962,138.8822389
新潟県五泉市,51404.0,37.7445396,139.182603
新潟県佐渡市,57255.0,38.018302500000004,138.36814009999998
新潟県胎内市,30198.0,38.0597174,139.4103369
新潟県田上町,12188.0,37.6986677,139.0579722
新潟県湯沢町,8046.0,36.934051600000004,138.81733380000003
新潟県関川村,5832.0,38.0894013,139.564965
富山県高岡市,172125.0,36.7541117,137.0257637
富山県滑川市,32755.0,36.76441320000001,137.3411988
富山県小矢部市,30399.0,36.6750885,136.8686403
富山県舟橋村,2982.0,36.703544,137.3074521
富山県入善町,25335.0,36.93356840000001,137.5021084
石川県七尾市,55325.0,37.04289710000001,136.96740259999999
石川県珠洲市,14625.0,37.4363883,137.260524
石川県かほく市,34219.0,36.7198422,136.70673380000002
石川県野々市市,55099.0,36.5194096,136.60973059999998
石川県内灘町,26987.0,36.653549,136.64512630000002
石川県中能登町,17571.0,36.988650299999996,136.90161940000002
福井県福井市,265904.0,36.0641386,136.21962299999998
福井県大野市,33109.0,35.97977210000001,136.48753369999997
福井県あわら市,28729.0,36.21139600000001,136.2290374
福井県永平寺町,19883.0,36.0923343,136.29907880000002
福井県越前町,21538.0,35.974015,136.12989009999998
福井県おおい町,8325.0,35.4821283,135.61735480000002
山梨県富士吉田市,49003.0,35.48798729999999,138.8071879
山梨県大月市,25419.0,35.6104591,138.940185
山梨県北杜市,45111.0,35.7765179,138.4236536
山梨県上野原市,24805.0,35.6302054,139.1086477
山梨県市川三郷町,15673.0,35.565184,138.5024512
山梨県南部町,8067.0,35.2417198,138.4856384
山梨県道志村,1743.0,35.5281186,139.0335739
山梨県山中湖村,5208.0,35.4106457,138.8611439
山梨県小菅村,726.0,35.7599371,138.9401805
長野県松本市,243293.0,36.2380434,137.9719897
長野県飯田市,101581.0,35.51487,137.8217006
長野県小諸市,42512.0,36.3271412,138.4258254
長野県中野市,43909.0,36.7419995,138.3693553
長野県茅野市,55912.0,35.9949904,138.1576589
長野県千曲市,60298.0,36.5338864,138.119971
長野県小海町,4713.0,36.0952125,138.48355930000002
長野県南相木村,1005.0,36.0360336,138.54707230000002
長野県軽井沢町,18994.0,36.34839270000001,138.59702969999998
長野県青木村,4343.0,36.3701487,138.12851809999998
長野県富士見町,14493.0,35.9146598,138.2406687
長野県箕輪町,25241.0,35.9150744,137.9819077
長野県中川村,4850.0,35.634553499999996,137.94605900000002
長野県高森町,13080.0,35.5515159,137.8786036
長野県平谷村,484.0,35.32329050000001,137.6302506
長野県売木村,575.0,35.27106699999999,137.7112747
長野県喬木村,6310.0,35.5137849,137.87391090000003
長野県上松町,4670.0,35.784029,137.6941543
長野県王滝村,839.0,35.80931599999999,137.55089230000002
長野県麻績村,2788.0,36.4560968,138.0452466
長野県朝日村,4462.0,36.1236042,137.86644750000002
長野県松川村,9948.0,36.424044099999996,137.85450790000002
長野県坂城町,14871.0,36.4616691,138.1803458
長野県山ノ内町,12429.0,36.7446479,138.41281750000002
長野県信濃町,8469.0,36.806416299999995,138.2071583
長野県栄村,1953.0,36.987660299999995,138.5775094
岐阜県高山市,89182.0,36.14613170000001,137.252159
岐阜県中津川市,78883.0,35.4874734,137.50062869999996
岐阜県羽島市,67337.0,35.319906599999996,136.7033655
岐阜県土岐市,57827.0,35.3525643,137.1834224
岐阜県山県市,27114.0,35.506049499999996,136.781349
岐阜県本巣市,33995.0,35.48297520000001,136.67878290000002
岐阜県海津市,35206.0,35.220475,136.63667719999998
岐阜県養老町,29029.0,35.3084375,136.5614837
岐阜県神戸町,19282.0,35.4173347,136.6085131
岐阜県揖斐川町,21503.0,35.4873386,136.5687109
岐阜県北方町,18169.0,35.4369881,136.6860064
岐阜県川辺町,10197.0,35.4865789,137.0706791
岐阜県白川町,8392.0,35.5818687,137.1879112
岐阜県白川村,1609.0,36.2710289,136.8985744
静岡県静岡市 清水区,238977.0,35.1132336,138.4987208
静岡県浜松市 西区,111353.0,34.745087899999994,137.62583600000002
静岡県浜松市 浜北区,95900.0,34.8122863,137.78348880000001
静岡県熱海市,37544.0,35.0963896,139.071784
静岡県伊東市,68345.0,34.96560529999999,139.1024648
静岡県磐田市,167210.0,34.7179085,137.8515047
静岡県藤枝市,143605.0,34.8673376,138.2575386
静岡県下田市,22916.0,34.6796171,138.9451459
静岡県伊豆市,31317.0,34.9766167,138.94655
静岡県伊豆の国市,48152.0,35.0277325,138.92897130000003
静岡県河津町,7303.0,34.756996799999996,138.98760719999999
静岡県西伊豆町,8234.0,34.7716151,138.77529819999998
静岡県長泉町,42331.0,35.1376864,138.8971832
静岡県川根本町,7192.0,35.0468998,138.0816267
愛知県名古屋市 東区,78043.0,35.178331799999995,136.9270975
愛知県名古屋市 中村区,133206.0,35.1663645,136.8591989
愛知県名古屋市 瑞穂区,105357.0,35.1286967,136.93680469999998
愛知県名古屋市 港区,146745.0,35.0878966,136.8543525
愛知県名古屋市 緑区,241822.0,35.0851921,136.9707947
愛知県豊橋市,374765.0,34.7688528,137.3916837
愛知県瀬戸市,129046.0,35.2239326,137.0841304
愛知県豊川市,182436.0,34.826752299999995,137.3757774
愛知県刈谷市,149765.0,34.9890881,137.00230119999998
愛知県西尾市,167990.0,34.8619053,137.06187749999998
愛知県常滑市,56547.0,34.88664139999999,136.83234819999998
愛知県稲沢市,136867.0,35.2481406,136.7802427
愛知県大府市,89157.0,35.0117491,136.9639005
愛知県尾張旭市,80787.0,35.21659550000001,137.0354372
愛知県豊明市,69127.0,35.054548499999996,137.0131269
愛知県愛西市,63088.0,35.1528943,136.7283544
愛知県弥富市,43269.0,35.1100935,136.7247508
愛知県長久手市,57598.0,35.1840825,137.0487221
愛知県大口町,23274.0,35.33246920000001,136.907715
愛知県蟹江町,37085.0,35.132106799999995,136.7867399
愛知県東浦町,49230.0,34.9771086,136.9655438
愛知県武豊町,42473.0,34.8511173,136.9147841
愛知県東栄町,3446.0,35.0769751,137.69780659999998
三重県四日市市,311031.0,34.9651064,136.6244121
三重県桑名市,140303.0,35.0621467,136.68379299999998
三重県尾鷲市,18009.0,34.07079210000001,136.1909177
三重県熊野市,17322.0,33.8885197,136.1002268
三重県伊賀市,90581.0,34.7685703,136.1298712
三重県菰野町,40210.0,35.0199868,136.50736740000002
三重県多気町,14878.0,34.496245,136.5460801
三重県玉城町,15431.0,34.4902591,136.6308751
三重県南伊勢町,12788.0,34.352102,136.7037883
三重県紀宝町,11207.0,33.7338148,136.0097461
滋賀県長浜市,118193.0,35.3806116,136.2783094
滋賀県守山市,79859.0,35.0590033,135.9943759
滋賀県野洲市,49889.0,35.0674758,136.02591
滋賀県東近江市,114180.0,35.112626,136.20757509999999
滋賀県竜王町,12434.0,35.0607672,136.1244806
滋賀県甲良町,7039.0,35.2041976,136.2613601
京都府京都市 上京区,85113.0,35.0281683,135.7568372
京都府京都市 東山区,39044.0,34.9923961,135.7757965
京都府京都市 右京区,204262.0,35.147079999999995,135.6196079
京都府京都市 西京区,150962.0,34.9647297,135.66688349999998
京都府綾部市,33821.0,35.29880700000001,135.2583674
京都府亀岡市,89479.0,35.0134498,135.5735249
京都府長岡京市,80090.0,34.926815500000004,135.6955225
京都府京丹後市,55054.0,35.6241985,135.06106210000002
京都府大山崎町,15181.0,34.902774,135.68856359999998
京都府宇治田原町,9319.0,34.8526684,135.8568466
京都府精華町,36376.0,34.760866899999996,135.78566899999998
京都府伊根町,2110.0,35.67514960000001,135.27271480000002
大阪府大阪市 福島区,72484.0,34.6935945,135.4733534
大阪府大阪市 港区,82035.0,34.6582476,135.454515
大阪府大阪市 浪速区,69766.0,34.661105799999994,135.49455580000003
大阪府大阪市 東成区,80563.0,34.67158750000001,135.5464239
大阪府大阪市 城東区,164697.0,34.6926929,135.54878290000002
大阪府大阪市 東住吉区,126299.0,34.62172879999999,135.5299142
大阪府大阪市 鶴見区,111557.0,34.701356700000005,135.5676592
大阪府大阪市 北区,123667.0,34.7066033,135.5016253
大阪府堺市 中区,124543.0,34.5308875,135.4969122
大阪府堺市 南区,147626.0,34.4774265,135.4969122
大阪府岸和田市,194911.0,34.4607027,135.37069230000003
大阪府吹田市,374468.0,34.7593593,135.51647690000001
大阪府貝塚市,88694.0,34.4385213,135.3585535
大阪府茨木市,280033.0,34.8163589,135.5685016
大阪府富田林市,113984.0,34.4996203,135.5973146
大阪府松原市,120750.0,34.5780574,135.55171380000002
大阪府箕面市,133411.0,34.8269299,135.47045649999998
大阪府門真市,123576.0,34.739571999999995,135.5868996
大阪府藤井寺市,65438.0,34.574316499999995,135.597575
大阪府四條畷市,56075.0,34.740079200000004,135.6401132
大阪府阪南市,54276.0,34.3596076,135.23942319999998
大阪府能勢町,10256.0,34.9725352,135.4142645
大阪府田尻町,8417.0,34.393800299999995,135.291153
大阪府河南町,16126.0,34.491580299999995,135.6296384
兵庫県神戸市 灘区,136088.0,34.738301,135.2149877
兵庫県神戸市 須磨区,162468.0,34.668313899999994,135.10269509999998
兵庫県神戸市 中央区,135153.0,34.6673806,135.2149877
兵庫県尼崎市,452563.0,34.7327113,135.4057914
兵庫県洲本市,44258.0,34.34288830000001,134.895295
兵庫県相生市,30129.0,34.803968,134.46834740000003
兵庫県赤穂市,48567.0,34.7550685,134.3902271
兵庫県三木市,77178.0,34.796896399999994,134.9901941
兵庫県小野市,48580.0,34.8531978,134.93151
兵庫県篠山市,41490.0,35.075729200000005,135.21919609999998
兵庫県南あわじ市,46912.0,34.29448970000001,134.77978159999998
兵庫県宍粟市,37773.0,35.0042414,134.5493785
兵庫県猪名川町,30838.0,34.89506179999999,135.3761626
兵庫県播磨町,33739.0,34.7152468,134.8680023
兵庫県神河町,11452.0,35.064167499999996,134.73955700000002
兵庫県佐用町,17510.0,35.00431470000001,134.3558423
奈良県奈良市,360310.0,34.685109000000004,135.8048019
奈良県天理市,67398.0,34.596659700000004,135.8373605
奈良県五條市,30997.0,34.352032200000004,135.6935169
奈良県香芝市,77561.0,34.54124669999999,135.69898369999999
奈良県山添村,3674.0,34.6810511,136.04386019999998
奈良県斑鳩町,27303.0,34.608870200000005,135.7306479
奈良県三宅町,6836.0,34.5736697,135.7732169
奈良県御杖村,1759.0,34.488093299999996,136.16599140000002
奈良県上牧町,22054.0,34.5627674,135.71672709999999
奈良県河合町,17941.0,34.578452399999996,135.73670080000002
奈良県下市町,5664.0,34.360930100000004,135.79188180000003
奈良県野迫川村,449.0,34.166224299999996,135.6330968
奈良県上北山村,512.0,34.134285299999995,136.00013909999998
和歌山県和歌山市,364154.0,34.230367799999996,135.1707405
和歌山県有田市,28470.0,34.0830306,135.1276824
和歌山県新宮市,29331.0,33.724120299999996,135.9924819
和歌山県紀美野町,9206.0,34.1672506,135.30758640000002
和歌山県高野町,3352.0,34.216094899999995,135.58652980000002
和歌山県有田川町,26361.0,34.070463399999994,135.22988480000004
和歌山県由良町,5837.0,33.9592854,135.1182368
和歌山県日高川町,9776.0,33.9117586,135.1858938
和歌山県すさみ町,4127.0,33.5501227,135.49662560000002
和歌山県古座川町,2826.0,33.531920899999996,135.81481619999997
鳥取県鳥取市,193717.0,35.50110820000001,134.23510109999998
鳥取県境港市,34174.0,35.5396534,133.23162040000003
鳥取県智頭町,7154.0,35.2650609,134.2265612
鳥取県湯梨浜町,16550.0,35.489931799999994,133.8646827
鳥取県日吉津村,3439.0,35.44017879999999,133.38075320000002
鳥取県伯耆町,11118.0,35.385245,133.40741409999998
鳥取県江府町,3004.0,35.2829909,133.48840520000002
島根県出雲市,171938.0,35.3670442,132.75469429999998
島根県安来市,39528.0,35.43098270000001,133.25109469999998
島根県奥出雲町,13063.0,35.197497,133.0024194
島根県美郷町,4900.0,35.0765771,132.590645
島根県吉賀町,6374.0,34.3534873,131.9350726
島根県知夫村,615.0,36.0139223,133.03953090000002
岡山県岡山市 中区,146232.0,34.660705799999995,133.96274920000002
岡山県倉敷市,477118.0,34.5849782,133.7719812
岡山県笠岡市,50568.0,34.5071564,133.5073882
岡山県高梁市,32075.0,34.7910378,133.6168529
岡山県瀬戸内市,36975.0,34.664903,134.0928408
岡山県美作市,27977.0,35.00862470000001,134.148604
岡山県早島町,12154.0,34.6008105,133.82836170000002
岡山県新庄村,866.0,35.1794843,133.56777209999998
岡山県奈義町,5906.0,35.1230307,134.1774711
岡山県美咲町,14432.0,34.9979457,133.95821429999998
広島県広島市 東区,120155.0,34.42670579999999,132.5019101
広島県広島市 安佐南区,242512.0,34.4686269,132.4036715
広島県広島市 佐伯区,136699.0,34.467580299999995,132.2559685
広島県三原市,96194.0,34.3974307,133.0787608
広島県府中市,40069.0,34.5680343,133.2365146
広島県大竹市,27865.0,34.2376953,132.22216909999997
広島県安芸高田市,29488.0,34.666294799999996,132.704317
広島県海田町,28667.0,34.3721705,132.5360861
広島県安芸太田町,6472.0,34.5767695,132.2272117
広島県世羅町,16337.0,34.586806700000004,133.0566521
山口県宇部市,169429.0,33.951555400000004,131.2468161
山口県防府市,115942.0,34.0517251,131.56273090000002
山口県光市,51369.0,33.9618201,131.9422491
山口県美祢市,26159.0,34.166466299999996,131.2060721
山口県周防大島町,17199.0,33.9276093,132.19536019999998
山口県田布施町,15317.0,33.954715500000006,132.04137790000001
徳島県徳島市,258554.0,34.0703652,134.55495369999997
徳島県阿南市,73019.0,33.9217662,134.659438
徳島県美馬市,30501.0,34.053358200000005,134.16991399999998
徳島県上勝町,1545.0,33.8891631,134.40196609999998
徳島県神山町,5300.0,33.9672275,134.3504705
